experiment,variable,bleu4,rougeL,bertscore,f1radgraph,f1chexbert
Core,Standard RAG,0.049205491494489995,0.19410702439765734,0.8467123645250915,0.1815950697381782,0.45918671492441987
Core,Label Filter only,0.0382697744228707,0.20229855275010492,0.8483009739000289,0.20426791362343902,0.44092328436590733
Core,Label Format only,0.040205549334145725,0.1914013872412299,0.8470467348567775,0.19176812435075297,0.4776376628835645
Core,LaB-RAG,0.032720783460637656,0.20192213844697918,0.8494120122956448,0.19985982531601343,0.45120999219359875
Filter,No-filter,0.040205549334145725,0.1914013872412299,0.8470467348567775,0.19176812435075297,0.4776376628835645
Filter,Exact,0.032720783460637656,0.20192213844697918,0.8494120122956448,0.19985982531601343,0.45120999219359875
Filter,Partial,0.034195232256209754,0.19625654066798917,0.8474984589170237,0.1952600441666509,0.4713919959821599
Prompt,Naive,0.0382697744228707,0.20229855275010492,0.8483009739000289,0.20426791362343902,0.44092328436590733
Prompt,Simple,0.032720783460637656,0.20192213844697918,0.8494120122956448,0.19985982531601343,0.45120999219359875
Prompt,Verbose,0.04244208351104883,0.20317009015334253,0.8508852407580516,0.20264033675737356,0.45973198022378353
Prompt,Instruct,0.04095011422335306,0.20681852802552403,0.8500952886753395,0.19402545696674342,0.43626428216592145
Language Model,Mistral-v1,0.025793622513736448,0.1496468911751815,0.8283668990995063,0.19079624370779527,0.42569015683769773
Language Model,BioMistral,0.035464604758577385,0.19268218903932952,0.8466319910815505,0.17984847640921722,0.4167352683746126
Language Model,Mistral-v3,0.032720783460637656,0.20192213844697918,0.8494120122956448,0.19985982531601343,0.45120999219359875
Embedding Model,GLoRIA,0.032720783460637656,0.20192213844697918,0.8494120122956448,0.19985982531601343,0.45120999219359875
Embedding Model,ResNet50,0.016925480702502015,0.158335904037624,0.8386133440205308,0.1512355829438423,0.444775625103494
Label Quality,Extracted - CheXbert,0.04454362505486896,0.21513046127785787,0.8535808715663973,0.24401125995870257,0.9388378470345684
Label Quality,Extracted - CheXpert,0.046028633125233864,0.21354373902327495,0.8517445882812875,0.22508702225775556,0.72082771509001
Label Quality,Predicted - CheXbert,0.032720783460637656,0.20192213844697918,0.8494120122956448,0.19985982531601343,0.45120999219359875
Label Quality,Predicted - CheXpert,0.04546497449028188,0.20892404965720862,0.8502016839433889,0.2030748051674101,0.4569731725469431
Retrieved Samples,3,0.03916501208006212,0.20561195854207664,0.8490823311883895,0.19431685870073634,0.44000780640124904
Retrieved Samples,5,0.032720783460637656,0.20192213844697918,0.8494120122956448,0.19985982531601343,0.45120999219359875
Retrieved Samples,10,0.03620279963128354,0.20411871307282756,0.8482509431291799,0.18530403254557262,0.4483216237314598
