experiment,variable,bleu4,rougeL,bertscore,f1radgraph,f1chexbert
Core,Standard RAG,0.031178546198602865,0.18821690878328293,0.8304574039578437,0.1105900071225852,0.44050721500721496
Core,Label Filter only,0.029702502168907463,0.19720378425658577,0.8310569566488266,0.11608526608960262,0.5094487734487734
Core,Label Format only,0.04634629171342475,0.21343348892943845,0.838701488673687,0.15934481884638532,0.5015223665223665
Core,LaB-RAG,0.04324748293467279,0.214702669677732,0.8367666149139404,0.14926045239984995,0.5051240981240981
Filter,No-filter,0.04634629171342475,0.21343348892943845,0.838701488673687,0.15934481884638532,0.5015223665223665
Filter,Exact,0.04324748293467279,0.214702669677732,0.8367666149139404,0.14926045239984995,0.5051240981240981
Filter,Partial,0.040925155341606324,0.21200623611122638,0.8380579230189323,0.15194720008848123,0.5031930014430014
Prompt,Naive,0.029702502168907463,0.19720378425658577,0.8310569569468498,0.11608526608960262,0.5094487734487734
Prompt,Simple,0.04324748293467279,0.214702669677732,0.8367666149139404,0.14926045239984995,0.5051240981240981
Prompt,Verbose,0.042291929756286685,0.2102604639086298,0.8363043421506882,0.1349755757734099,0.49723304473304464
Prompt,Instruct,0.039933248104056386,0.20199182698672172,0.8339259606599808,0.12970875090064019,0.487987012987013
Language Model,Mistral-v1,0.029795017730443737,0.1749532599020271,0.825900775194168,0.1336660633645201,0.49209018759018763
Language Model,BioMistral,0.00963127131094726,0.15433599126391925,0.816450807750225,0.07637528190542225,0.3721259018759019
Language Model,Mistral-v3,0.04324748293467279,0.214702669677732,0.8367666149139404,0.14926045239984995,0.5051240981240981
Embedding Model,GLoRIA,0.04324748293467279,0.214702669677732,0.8367666149139404,0.14926045239984995,0.5051240981240981
Embedding Model,ResNet50,0.014562593437706288,0.16990482361958933,0.8258298674225807,0.07965115016913635,0.4193850038850039
Label Quality,Extracted - CheXbert,0.0587324992919497,0.25334800938646757,0.8448555859923362,0.18796220708913122,0.9666809856809857
Label Quality,Extracted - CheXpert,0.05855425843612639,0.24818527107280672,0.8421658861637116,0.1872319400069918,0.8152175324675324
Label Quality,Predicted - CheXbert,0.04324748293467279,0.214702669677732,0.8367666149139404,0.14926045239984995,0.5051240981240981
Label Quality,Predicted - CheXpert,0.0354994906170436,0.19902296027362,0.8332560595870018,0.12053871782821007,0.4875284992784992
Retrieved Samples,3,0.03963697193866628,0.20513677539779743,0.8364833727478981,0.1554546788799714,0.5085025252525253
Retrieved Samples,5,0.04324748293467279,0.214702669677732,0.8367666149139404,0.14926045239984995,0.5051240981240981
Retrieved Samples,10,0.04323229831698816,0.2206544972961303,0.837757066488266,0.1510055219601809,0.505018759018759
