experiment,variable,bleu4,rougeL,bertscore,f1radgraph,f1chexbert
Core,Standard RAG,0.02038010824642017,0.14890309548214703,0.8513005618139994,0.13667410710246145,0.3821715080483066
Core,Label Filter only,0.021577548077546197,0.15208340823242655,0.8509034013523044,0.13783612463444125,0.4247680027805927
Core,Label Format only,0.030099101067909487,0.17023623688660683,0.8570937244422573,0.14779082279501188,0.43185331604845995
Core,LaB-RAG,0.030892877572157206,0.16574573820824087,0.8557558003143012,0.1430201414161385,0.4383626814831851
Filter,No-filter,0.030099101067909487,0.17023623688660683,0.8570937241742508,0.14779082279501188,0.43185331604845995
Filter,Exact,0.030892877572157206,0.16574573820824087,0.855755801252324,0.1430201414161385,0.4383626814831851
Filter,Partial,0.028826279123434866,0.16630901905361242,0.8574054018199015,0.14484030052162902,0.4449456393925818
Prompt,Naive,0.021577548077546197,0.15208340823242655,0.8509034018615167,0.13783612463444125,0.4247680027805927
Prompt,Simple,0.030892877572157206,0.16574573820824087,0.8557558005823077,0.1430201414161385,0.4383626814831851
Prompt,Verbose,0.027958659730346686,0.1645347147252754,0.8548523628508016,0.1429683293979187,0.4306155450265162
Prompt,Instruct,0.025149664968856348,0.16235280303075442,0.8523881355796358,0.14358455887638735,0.42742392000485524
Language Model,Mistral-v1,0.0159671484481187,0.1229751763916509,0.8379547602141932,0.13252382674153543,0.4304089171220466
Language Model,BioMistral,0.028460753396780013,0.16178300490166175,0.8523331887537627,0.13020703342002896,0.4137222190279744
Language Model,Mistral-v3,0.030892877572157206,0.16574573820824087,0.8557558007699122,0.1430201414161385,0.4383626814831851
Embedding Model,BioViL-T,0.030892877572157206,0.16574573820824087,0.8557558000462947,0.1430201414161385,0.4383626814831851
Embedding Model,ResNet50,0.023257407095640233,0.1495531873711098,0.8544694690449204,0.12477964585612517,0.3259456720338015
Label Quality,Extracted - CheXbert,0.04998143625573044,0.2332545956762995,0.8720096604054351,0.22361447355826924,0.9499560441556844
Label Quality,Extracted - CheXpert,0.04701090040325016,0.2290425860965589,0.8708579003167667,0.22118549080591307,0.8005065353311756
Label Quality,Predicted - CheXbert,0.030892877572157206,0.16574573820824087,0.8557557999390921,0.1430201414161385,0.4383626814831851
Label Quality,Predicted - CheXpert,0.032310245603578015,0.1722594923241091,0.8574780100862757,0.1503836853851678,0.43831553638208315
Retrieved Samples,3,0.01998359499037614,0.15736455644569686,0.8543853283250075,0.13234918010265287,0.4373708425866699
Retrieved Samples,5,0.030892877572157206,0.16574573820824087,0.8557558006091084,0.1430201414161385,0.4383626814831851
Retrieved Samples,10,0.03515215070222253,0.17160694175965932,0.8562260238761953,0.14589040757924351,0.4369166629733176
Literature,LaB-RAG,0.0313246898112872,0.1664513911667052,0.8558602977811012,0.14411056891056262,0.4394072431954677
Literature,CXR-RePaiR,0.019503028400511074,0.12408037640265693,0.8476964851483424,0.1075338306446648,0.3472794283154849
Literature,CXR-ReDonE,0.009254732972770099,0.1300588207852693,0.84507168166336,0.10329559632381136,0.33251436174758864
Literature,X-REM,0.013313197295807126,0.1619150660761861,0.8536537655789468,0.13932522888562965,0.4082428778686195
Literature,CheXagent,0.06137283931856987,0.2100467401941641,0.8646190867256432,0.17785842557891543,0.39578746979477236
Literature,CXRMate,0.054224667135189836,0.21272094714738848,0.8625215888839506,0.19205642992609248,0.422094174399058
